Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2021,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.338
2007,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.35
2008,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.375
2009,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.379
2010,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.373
2011,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.373
2012,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.363
2013,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.358
2014,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.367
2015,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.373
2016,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.382
2017,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.394
2018,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.412
2019,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.451
2020,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.498
2021,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.529
2022,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.531
2023,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.531
2024,Business R&D expenditure,OECD,OECD,Information industries (ISIC 26+58-63),Share of GDP,0.54
