Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2013,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.093
2014,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.088
2015,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.088
2016,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.092
2017,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.093
2018,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.097
2019,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.1
2020,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.108
2021,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.109
2022,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of GDP,0.107
2005,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,16.887
2006,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,16.048
2007,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,14.89
2008,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,17.848
2009,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,15.698
2010,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,14.416
2011,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,14.126
2012,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,14.177
2013,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,13.756
2014,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,13.463
2015,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,13.841
2016,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,14.541
2017,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,14.137
2018,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,13.854
2019,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,14.346
2020,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,13.927
2021,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,13.837
2022,Business R&D expenditure,ESP,Spain,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,13.479
2005,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.106
2006,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.133
2007,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.094
2008,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.37
2009,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.382
2010,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.391
2011,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.389
2012,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.384
2013,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.384
2014,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.369
2015,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.365
2016,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.361
2017,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.376
2018,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.403
2019,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.402
2020,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.46
2021,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.473
2022,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of GDP,0.493
2005,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,17.997
2006,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,20.376
2007,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,13.589
2008,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,50.958
2009,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,54.224
2010,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,56.08
2011,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,56.153
2012,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,56.058
2013,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,57.035
2014,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,56.534
2015,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,57.337
2016,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,56.948
2017,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,56.866
2018,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,57.88
2019,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,57.602
2020,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,59.211
2021,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,60.219
2022,Business R&D expenditure,ESP,Spain,High digital-intensive industries,Share of total business enterprise expenditure on R&D,62.153
2005,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.012
2006,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.035
2007,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.018
2008,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.02
2009,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.019
2010,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.016
2011,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.016
2012,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.015
2013,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.015
2014,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.014
2015,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.013
2016,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.013
2017,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.011
2018,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.01
2019,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.01
2020,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.011
2021,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.02
2022,Business R&D expenditure,ESP,Spain,Telecommunications,Share of GDP,0.015
2005,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.006
2006,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,5.342
2007,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.629
2008,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.802
2009,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.716
2010,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.273
2011,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.318
2012,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.169
2013,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.166
2014,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.196
2015,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,1.976
2016,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.086
2017,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,1.685
2018,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,1.409
2019,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,1.396
2020,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,1.426
2021,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,2.572
2022,Business R&D expenditure,ESP,Spain,Telecommunications,Share of total business enterprise expenditure on R&D,1.87
2008,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.01
2009,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.006
2010,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.006
2011,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.005
2012,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.005
2013,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.004
2014,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.004
2015,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.004
2016,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.003
2017,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.003
2018,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.003
2019,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.003
2020,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.004
2021,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.006
2022,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of GDP,0.007
2008,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,1.371
2009,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.827
2010,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.897
2011,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.76
2012,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.731
2013,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.598
2014,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.647
2015,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.555
2016,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.449
2017,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.499
2018,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.45
2019,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.469
2020,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.548
2021,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.727
2022,Business R&D expenditure,ESP,Spain,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.822
2005,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.026
2006,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.027
2007,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.034
2008,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.025
2009,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.022
2010,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.022
2011,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.019
2012,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.017
2013,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.017
2014,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.016
2015,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.015
2016,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.015
2017,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.016
2018,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.017
2019,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.017
2020,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.017
2021,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.017
2022,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of GDP,0.016
2005,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,4.478
2006,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,4.094
2007,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,4.911
2008,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,3.379
2009,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,3.178
2010,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,3.093
2011,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.814
2012,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.532
2013,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.544
2014,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.509
2015,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.364
2016,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.379
2017,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.489
2018,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.404
2019,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.414
2020,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.133
2021,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.103
2022,Business R&D expenditure,ESP,Spain,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.015
2005,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.082
2006,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.11
2007,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.116
2008,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.115
2009,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.109
2010,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.104
2011,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.102
2012,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.099
2013,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.1
2014,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.099
2015,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.088
2016,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.09
2017,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.086
2018,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.098
2019,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.097
2020,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.119
2021,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.135
2022,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.139
2005,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,13.949
2006,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,16.783
2007,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,16.841
2008,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,15.814
2009,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,15.412
2010,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,14.859
2011,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,14.684
2012,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,14.518
2013,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,14.79
2014,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,15.115
2015,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,13.847
2016,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,14.111
2017,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,12.993
2018,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,14.091
2019,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,13.957
2020,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,15.387
2021,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,17.164
2022,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,17.473
2005,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.056
2006,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.083
2007,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.083
2008,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.09
2009,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.086
2010,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.082
2011,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.082
2012,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.082
2013,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.082
2014,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.082
2015,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.073
2016,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.074
2017,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.069
2018,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.081
2019,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.08
2020,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.103
2021,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.118
2022,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of GDP,0.123
2005,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,9.472
2006,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,12.688
2007,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,11.93
2008,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,12.435
2009,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,12.234
2010,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,11.765
2011,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,11.871
2012,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,11.986
2013,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,12.246
2014,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,12.606
2015,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,11.483
2016,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,11.733
2017,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,10.504
2018,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,11.687
2019,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,11.543
2020,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,13.254
2021,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,15.061
2022,Business R&D expenditure,ESP,Spain,Information and communication (ISIC 58-63),Share of total business enterprise expenditure on R&D,15.458
2008,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.06
2009,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.061
2010,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.06
2011,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.061
2012,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.062
2013,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.064
2014,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.064
2015,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.057
2016,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.058
2017,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.055
2018,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.068
2019,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.067
2020,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.088
2021,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.092
2022,Business R&D expenditure,ESP,Spain,IT and other information services,Share of GDP,0.101
2008,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,8.262
2009,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,8.69
2010,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,8.595
2011,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,8.793
2012,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,9.086
2013,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,9.482
2014,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,9.763
2015,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,8.951
2016,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,9.198
2017,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,8.32
2018,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,9.828
2019,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,9.679
2020,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,11.281
2021,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,11.763
2022,Business R&D expenditure,ESP,Spain,IT and other information services,Share of total business enterprise expenditure on R&D,12.766
2005,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.509
2006,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.543
2007,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.575
2008,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.611
2009,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.597
2010,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.593
2011,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.59
2012,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.585
2013,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.574
2014,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.554
2015,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.548
2016,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.545
2017,Business R&D expenditure,ESP,Spain,Non-information industries,Share of GDP,0.575
